CustomerId,First Name,Last Name,Sex,Phone,Addressline1,city,state,postcode,Lat,Lon
12375,Alison,Holmes,F,(541) 343-6977,1040 Green Acres Road, Eugene, OR,97408,-123.0933924,44.0907223
12377,Amira,Mahoney,F,(541) 942-4600,901 Row River Rd, Cottage Grove, OR,97424,-123.0433281,43.8002444
12378,Isai,Ponce,M,(503) 378-1336,5250 Commercial St. Se, Salem, OR,97306,-123.0256172,44.8786036
12379,Bernard,Thomas,M,(503) 378-7424,3025 Lancaster Drive Ne, Salem, OR,97305,-122.9873929,44.9647138
12380,Camryn,Rosario,F,(360) 414-9656,3715 Ocean Beach Hwy, Longview, WA,98632,-122.9840265,46.1530486
12381,Kaiya,Bauer,F,(360) 748-1240,1601 N.W. Louisiana Ave, Chehalis, WA,98532,-122.9792835,46.6789226
12383,Alexa,Gallagher,F,360 748 1240,1601 NW LOUISIANA AVE,CHEHALIS,WA,98532,-122.9792835,46.6789226
12384,Dillan,Klein,M,479 632 4585,367 W CHERRY ST,ALMA,AR,72921,-122.9596654,46.7119346
12386,Annalise,Hines,F,(541) 258-7400,3290 South Santiam Hwy, Lebanon, OR,97355,-122.9007291,44.5168343
12388,Reid,Roy,M,(503) 981-9622,3002 Stacy Allison Way, Woodburn, OR,97071,-122.8800158,45.1478179
12390,Lawrence,Mcdonald,M,(541) 770-2010,3615 Crater Lake Hwy, Medford, OR,97504,-122.8596168,42.3670772
12391,Skylar,Mason,F,(503) 366-5866,2295 Gable Road, St. Helens, OR,97051,-122.8313026,45.8473937
12393,Colton,Martin,M,(541) 535-9170,300 West Valley View, Talent, OR,97540,-122.779024,42.2447265
12394,Rory,Morse,F,360 456 6550,1401 GALAXY DR NE,LACEY,WA,98516,-122.7737733,47.0604364
12395,Semaj,Schultz,M,(707) 586-3717,4625 Redwood Drive, Rohnert Park, CA,94928,-122.7144968,38.3681936
12397,Tucker,Peck,M,360 697 3670,21200 OLHAVA WAY NW,POULSBO,WA,98370,-122.6625204,47.7570341
12398,Graham,Hutchinson,M,(360) 279-0665,1250 S.W. Erie Street, Oak Harbor, WA,98277,-122.6619377,48.2889081
12399,Kaley,Wilkins,F,(530) 842-7330,1906 Fort Jones Road, Yreka, CA,96097,-122.6444778,41.6986636
12401,Harper,Alexander,M,(360) 698-2889,6797 State Hwy 303 N.E., Bremerton, WA,98311,-122.6327841,47.6249105
12402,Sawyer,Mercer,M,360 698 2889,6797 STATE HIGHWAY 303 NE,BREMERTON,WA,98311,-122.6327841,47.6249105
12403,Harley,Price,M,(360) 874-9060,3497 Bethel Road Se, Port Orchard, WA,98366,-122.6274953,47.5166988
12405,Jay,Holden,M,(707) 994-6881,15960 Dam Road, Clearlake, CA,95422,-122.6164489,38.9315506
12406,Wyatt,Byrd,M,360 400 8050,17100 STATE ROUTE 507 SE,YELM,WA,98597,-122.5775337,46.9347755
12407,Marlie,Rasmussen,F,(503) 788-0200,4200 Southeast 82nd Ave, Portland, OR,97266,-122.5750681,45.4913102
12408,Dean,Stevenson,M,360 885 0734,221E NE 104TH AVE,VANCOUVER,WA,98664,-122.5623103,45.6213273
12409,Haleigh,Cantu,F,(360) 647-1400,4420 Meridian St, Bellingham, WA,98226,-122.4820584,48.8015432
12410,Paige,Friedman,F,360 647 1400,4420 MERIDIAN ST,BELLINGHAM,WA,98226,-122.4820584,48.8015432
12412,Raven,Dougherty,F,360 256 0109,430 SE 192ND AVE,VANCOUVER,WA,98683,-122.4798718,45.618304
12413,Alexzander,Griffith,M,253 846 6008,20307 MOUNTAIN HWY E,SPANAWAY,WA,98387,-122.4194218,47.0739856
12414,Brisa,Acevedo,F,360 428 7000,2301 FREEWAY DR,MOUNT VERNON,WA,98273,-122.3463341,48.4417087
12415,Jayda,Lucas,F,253 835 4965,34520 16TH AVENUE AOUTH,FEDERAL WAY,WA,98003,-122.3101504,47.2925935
12417,Braxton,Johnston,M,253 446 1741,16502 MERIDIAN E,PUYALLUP,WA,98375,-122.2972119,47.10596
12418,Annalise,Norman,F,(253) 770-4399,310 31St Avenue S.E., Puyallup, WA,98374,-122.2888469,47.1610757
12420,Graham,Byrd,M,253 770 4399,310 31ST AVE SE,PUYALLUP,WA,98374,-122.2888469,47.1610757
12421,Roland,Hammond,M,425 923 1740,11400 HIGHWAY 99,EVERETT,WA,98204,-122.2557608,47.8943928
12422,Reilly,Cox,M,(707) 557-4393,5180 Sonoma Blvd, Vallejo, CA,94589,-122.2535604,38.1467335
12423,Laura,Beck,F,425 741 9445,1400 164TH ST SW,LYNNWOOD,WA,98087,-122.2529537,47.8489869
12424,Markus,Waller,M,(253) 735-1855,1425 Supermall Way, Auburn, WA,98001,-122.2510098,47.2979896
12425,Aimee,Alvarado,F,(530) 529-5540,1025 South Main, Red Bluff, CA,96080,-122.2242659,40.1584087
12426,Bernard,Holt,M,(530) 934-2054,470 Airport Avenue, Willows, CA,95988,-122.2175524,39.5258195
12427,Annabella,Harding,F,360 657 1192,8924 34TH AVE NE,TULALIP,WA,98271,-122.1886072,48.0788575
12428,Mia,Ellison,F,(510) 569-0200,1919 Davis Street, San Leandro, CA,94577,-122.1777396,37.7147061
12429,Armani,Bray,F,253 826 9144,19205 STATE ROUTE 410 E,BONNEY LAKE,WA,98391,-122.1719342,47.1675912
12430,Ingrid,Patel,F,(650) 917-0796,600 Showers Drive, Mountain View, CA,94040,-122.109694,37.4008785
12431,Kole,Norman,M,(925) 313-5716,1021 Arnold Dr, Martinez, CA,94553,-122.1093954,37.9969146
12432,Lara,Frederick,F,(707) 428-4792,300 Chadbourne Road, Fairfield, CA,94534,-122.0811171,38.238268
12433,Emelia,Dennis,F,(510) 475-5915,30600 Dyer Street, Union City, CA,94587,-122.0674112,37.6046811
12434,Jaxon,Mcknight,M,(707) 451-0166,1501 Helen Power Drive, Vacaville, CA,95687,-121.9590154,38.362097
12435,Dax,Shah,M,(408) 934-0304,301 Ranch Drive, Milpitas, CA,95035,-121.9211785,37.431463
12436,Carter,Valenzuela,M,(925) 734-8744,4501 Rosewood Drive, Pleasanton, CA,94588,-121.8873308,37.6984713
12437,Sienna,Owens,F,(925) 427-2022,2203 Loveridge Road, Pittsburg, CA,94565,-121.8681089,38.0089726
12438,Tamia,Valencia,F,(530) 899-8760,2044 Forest Avenue, Chico, CA,95928,-121.8049052,39.7232811
12441,Phoenix,Lambert,F,(925) 455-0215,2700 Las Positas Road, Livermore, CA,94550,-121.7680422,37.699275
12442,Karlie,Glenn,F,(541) 885-6890,3600 Washburn Way, Klamath Falls, OR,97603,-121.7602929,42.1932303
12444,Tara,Singh,F,(530) 668-1060,1720 East Main Street, Woodland, CA,95776,-121.7410046,38.6754298
12445,Mareli,Mendez,F,(831) 751-0231,1375 North Davis Road, Salinas, CA,93907,-121.6687788,36.7057894
12446,Reuben,Brooks,M,(530) 751-0130,935 Tharp Road, Yuba City, CA,95993,-121.6472276,39.1388494
12447,Hezekiah,Ballard,M,(530) 534-1082,355 Oro Dam Blvd, Oroville, CA,95965,-121.5734157,39.4966195
12448,Phoebe,Friedman,F,(408) 848-8161,7900 Arroyo Circle, Gilroy, CA,95020,-121.5612525,37.0178439
12449,Grant,Welch,M,(541) 387-2300,2700 Wasco Ave, Hood River, OR,97031,-121.5385846,45.7117322
12450,Chasity,Hines,F,(209) 836-5786,3010 W Grant Line Road, Tracy, CA,95304,-121.4719682,37.7515205
12451,Savannah,Little,F,(916) 332-3173,7901 Watt Avenue, Antelope, CA,95843,-121.3945988,38.712868
12452,Sadie,Hubbard,F,(916) 684-7100,8465 Elk Grove Blvd, Elk Grove, CA,95758,-121.3916932,38.4117621
12453,Bianca,Mathews,F,(541) 389-8184,20120 Pinebrook Blvd, Bend, OR,97702,-121.3174057,44.0237775
12454,Mekhi,Mcmahon,M,(209) 368-6696,2350 West Kettleman Lane, Lodi, CA,95242,-121.3032809,38.1129682
12455,Isabell,Salas,F,(916) 361-0296,10655 Folsom Blvd, Rancho Cordova, CA,95670,-121.2918238,38.5960865
12456,Fletcher,Cisneros,M,(916) 786-6768,900 Pleasant Grove Blvd, Roseville, CA,95678,-121.2897453,38.787883
12457,Jada,Mann,F,(209) 473-2796,3223 East Hammer Lane, Stockton, CA,95212,-121.2735001,38.0235048
12458,Ashleigh,Bradshaw,F,(209) 824-2000,1205 South Main Street, Manteca, CA,95337,-121.2185814,37.7854868
12461,Hector,Bowman,M,(541) 923-5972,3500 Sw 21St Place, Redmond, OR,97756,-121.189705,44.243951
12462,Maleah,Perry,F,(916) 983-1090,1018 Riley Street, Folsom, CA,95630,-121.1674132,38.668524
12463,Madeline,Cain,F,(209) 524-4733,2225 Plaza Parkway, Modesto, CA,95350,-121.0370564,37.6733471
12464,Anabelle,Richardson,F,(209) 541-0253,1670 Mitchell Road, Ceres, CA,95307,-120.9375032,37.606716
12465,Melissa,Wiley,F,(209) 826-9655,1575 West Pacheco Blvd, Los Banos, CA,93635,-120.8789086,37.0539553
12468,Jordon,Collier,M,(209) 634-8543,2111 Fulkerth Road, Turlock, CA,95380,-120.8729178,37.509403
12471,Mario,House,M,(530) 621-2917,4300 Missouri Flat Road, Placerville, CA,95667,-120.8293052,38.7041922
12472,Alexandra,Hickman,F,(209) 223-5384,10355 Wicklow Way, Martell, CA,95654,-120.8061066,38.3578026
12473,Genevieve,Aguirre,F,(805) 238-1212,180 Niblick Road, Paso Robles, CA,93446,-120.6816436,35.6124554
12474,Jaylen,Hutchinson,M,(530) 251-2000,2900 Main Street, Susanville, CA,96130,-120.6375263,40.4089259
12475,Ellie,Hamilton,F,(805) 474-0800,1168 West Branch St, Arroyo Grande, CA,93420,-120.5977037,35.1289649
12476,Hallie,Mcconnell,F,509 966 0478,6600 W NOB HILL BLVD,YAKIMA,WA,98908,-120.5972767,46.5829656
12477,Luciana,Boyer,F,(209) 384-1275,3055 Loughborough Drive, Merced, CA,95348,-120.5019281,37.3180938
12478,Myles,Gordon,M,(509) 248-3448,1600 East Chestnut Avenue, Yakima, WA,98901,-120.4804567,46.6013871
12479,Kristin,Davenport,F,509 248 3448,1600 E CHESTNUT AVE,YAKIMA,WA,98901,-120.4804567,46.6013871
12480,Sean,Rubio,M,(805) 735-9088,701 W Central Avenue, Lompoc, CA,93436,-120.4641598,34.662876
12481,Killian,Bryant,M,(805) 349-7885,2220 South Bradley, Santa Maria, CA,93455,-120.4191441,34.9199188
12483,Reece,Singleton,M,(209) 533-2617,1101 Sanguinetti Road, Sonora, CA,95370,-120.3658507,37.9716599
12484,Nico,Wyatt,M,(509) 664-2448,2000 North Wenatchee Ave, Wenatchee, WA,98801,-120.3394426,47.4541917
12488,Kassidy,Oliver,F,509 664 2448,2000 N WENATCHEE AVE,WENATCHEE,WA,98801,-120.3394426,47.4541917
12489,Adrian,Carr,M,(559) 675-9212,1977 West Cleveland Ave, Madera, CA,93637,-120.0806237,36.9756406
12490,Savanna,Casey,F,(509) 839-7339,2675 East Lincoln Avenue, Sunnyside, WA,98944,-119.9860955,46.3149707
12491,Azul,Salinas,F,509 839 7339,2675 E LINCOLN AVE,SUNNYSIDE,WA,98944,-119.9860955,46.3149707
12492,Ashtyn,Schneider,F,(559) 277-8191,3680 West Shaw, Fresno, CA,93711,-119.8603588,36.810597
12493,Joshua,Klein,M,(775) 829-8088,4855 Kietzke Lane, Reno (S), NV,89502,-119.7988658,39.4806191
12494,Shelby,Dyer,F,(775) 359-8200,2863 Northtowne Lane, Reno, NV,89512,-119.7853983,39.5538416
12497,Giselle,Shaffer,F,(775) 267-2158,3770 South Highway 395, Carson City, NV,89705,-119.7784738,39.1115831
12498,Adolfo,Mckenzie,M,(559) 252-9457,5125 East Kings Canyon, Fresno, CA,93727,-119.7217566,36.7382641
12500,Sterling,Hall,M,(559) 297-4176,323 West Shaw Avenue, Clovis, CA,93612,-119.7168815,36.811324
12501,Moriah,Ryan,F,509 758 8532,306 5TH ST,CLARKSTON,WA,99403,-119.7055101,36.8237405
12502,Shyann,Silva,F,(559) 583-6292,1750 West Lacey Blvd., Hanford, CA,93230,-119.6746533,36.3292217
12504,Salma,Sampson,F,(559) 891-7190,3400 Floral Avenue, Selma, CA,93662,-119.6344468,36.5772308
12506,Jett,Mcdonald,M,(509) 826-6002,902 Engh Road, Omak, WA,98841,-119.507641,48.4139662
12507,Giovanni,Pugh,M,(509) 628-8420,2801 Duportail Street, Richland, WA,99352,-119.3078934,46.2560329
12508,Kirsten,Hayes,F,509 628 8420,2801 DUPORTAIL ST,RICHLAND,WA,99352,-119.3078934,46.2560329
12509,Jaylan,Waller,M,(541) 567-4854,1350 North First St., Hermiston, OR,97838,-119.2864519,45.8507779
12510,Jamie,Hardin,F,(509) 765-8979,1005 N. Stratford Road, Moses Lake, WA,98837,-119.2741172,47.1414048
12512,Emilio,Stokes,M,509 765 8979,1005 N STRATFORD RD,MOSES LAKE,WA,98837,-119.2741172,47.1414048
12513,Mireya,Archer,F,(559) 636-2302,1819 East Noble Avenue, Visalia, CA,93292,-119.2731642,36.324338
12514,Liam,Harrison,M,(509) 543-7934,4820 North Road 68, Pasco, WA,99301,-119.1882465,46.2720217
12515,Tristen,Rojas,M,509 543 7934,4820 N ROAD 68,PASCO,WA,99301,-119.1882465,46.2720217
12516,Salvador,Gutierrez,M,(509) 586-1554,2720 So. Quillan St., Kennewick, WA,99337,-119.1772516,46.1827122
12517,Avery,Park,M,509 586 1554,2720 S QUILLAN ST,KENNEWICK,WA,99337,-119.1772516,46.1827122
12518,Ray,Simpson,M,(805) 981-4884,2001 North Rose Avenue, Oxnard, CA,93030,-119.1614606,34.2200397
12519,Alexis,Hensley,F,(509) 488-9295,1860 East Maint St, Othello, WA,99344,-119.1480415,46.8241032
12520,Octavio,Sherman,M,(559) 783-8195,1250 West Henderson Avenue, Porterville, CA,93257,-119.0454704,36.0833683
12521,Kolten,Love,M,(661) 398-7297,2300 White Lane, Bakersfield, CA,93304,-119.0288896,35.3197293
12522,Jovanny,Perkins,M,(661) 873-7120,2601 Fashion Place, Bakersfield, CA,93306,-118.9608064,35.391556
12523,Peyton,Hooper,M,(541) 966-9970,2203 S.W Court Place, Pendleton, OR,97801,-118.8088893,45.6686378
12524,Valentino,Wright,M,(775) 428-1700,920 West Williams Avenue, Fallon, NV,89406,-118.788715,39.4773329
12526,Evangeline,Powers,F,(661) 294-5211,27931 Kelly Johnson Parkway, Santa Clarita, CA,91355,-118.5760265,34.444003
12527,Raelynn,Luna,F,(661) 253-1911,25450 The Old Road, Stevenson Ranch, CA,91381,-118.5691857,34.3835096
12528,Elliana,Johnston,F,(661) 259-0863,26471 Carl Boyer Drive, Santa Clarita, CA,91350,-118.5060345,34.4138429
12530,Wesley,Torres,M,(818) 830-0350,8333 Van Nuys Blvd, Panorama City, CA,91402,-118.4495781,34.2226091
12531,Justice,Pugh,M,(509) 525-3468,1700 S.E. Meadowbrook Blvd., College Place, WA,99324,-118.3841851,46.0331794
12532,Anya,Brady,F,509 525 3468,1700 SE MEADOWBROOK BLVD,COLLEGE PLACE,WA,99324,-118.3841851,46.0331794
12534,Quintin,Andersen,M,(952) 854-5600,715 East 78th Street, Bloomington, MN,55420,-118.2624028,33.9686141
12535,Jacey,Stone,F,(661) 940-8744,44765 Valley Central Way, Lancaster, CA,93536,-118.173293,34.695676
12536,Omar,Mcguire,M,(562) 531-8240,14501 Lakewood Blvd, Paramount, CA,90723,-118.1452854,33.9024133
12538,Bryce,Craig,M,(661) 267-6496,320 West Avenue P, Palmdale, CA,93551,-118.1345547,34.6016864
12539,Chad,Mcdowell,M,(562) 924-1468,12701 Towne Center Dr, Cerritos, CA,90703,-118.0619035,33.8724395
12540,Leroy,Campos,M,(949) 588-7923,26502 Towne Center Drive, Foothill Ranch, CA,92610,-118.0572602,33.8659731
12541,Devyn,Grant,M,(714) 799-0020,13331 Beach Blvd, Westminster, CA,92683,-117.9930222,33.7678387
12544,Ernest,Poole,M,(714) 841-5390,8230 Talbert Avenue, Huntington Beach, CA,92646,-117.9855282,33.7002653
12545,Colton,Vaughan,M,(626) 359-7708,1600 S Mountain Avenue, Duarte, CA,91010,-117.9839379,34.1340537
12546,Donte,Shields,M,(714) 491-0744,440 North Euclid Street, Anaheim, CA,92801,-117.937995,33.8361695
12547,Bradyn,Burns,M,(626) 854-1166,17150 East Gale Avenue, City Of Industry, CA,91745,-117.9322693,33.9983879
12548,Kaleigh,Mercer,F,509 684 3209,810 NORTH HIGHWAY,COLVILLE,WA,99114,-117.915374,48.5539255
12550,Nataly,Bowers,F,(714) 775-1804,3600 West Mcfadden Avenue, Santa Ana, CA,92704,-117.9152328,33.7373373
12551,Moshe,Stark,M,(626) 339-4161,1275 North Azusa Avenue, Covina, CA,91722,-117.9096171,34.1025584
12552,Amirah,Bradford,F,(909) 592-4866,1950 Auto Center Drive, Glendora, CA,91740,-117.82593,34.1165517
12553,Nia,Lawrence,F,(909) 620-4602,80 Rio Rancho Road, Pomona, CA,91766,-117.7577354,34.0291864
12556,Gaven,Newman,M,(949) 360-0758,27470 Alicia Pkwy, Laguna Niguel, CA,92677,-117.7129607,33.5635107
12557,Kira,Herman,F,(909) 920-4021,1540 W. Foothill Blvd, Upland, CA,91786,-117.6784089,34.1059289
12558,Delaney,Shea,F,(760) 371-4974,911 South China Lake Blvd, Ridgecrest, CA,93555,-117.6733961,35.606982
12559,Seth,Weiss,M,(949) 498-6669,951 Avenida Pico, San Clemente, CA,92673,-117.6062412,33.4556448
12560,Jair,Williams,M,509 459 0602,1221 S HAYFORD RD,SPOKANE,WA,99224,-117.5585936,47.6457333
12561,Jaxson,Kent,M,(909) 899-1441,12549 Foothill Blvd., Rancho Cucamonga, CA,91739,-117.5314246,34.1034711
12562,Jaidyn,Watkins,F,(951) 270-0707,479 N Mckinley St., Corona, CA,92879,-117.5173073,33.8908109
12564,Trey,Lara,M,(951) 689-4595,5200 Van Buren Blvd, Riverside, CA,92503,-117.4552358,33.9370944
12565,Isaias,Norman,M,(909) 355-6922,17251 Foothill Blvd., Fontana, CA,92335,-117.4281076,34.105657
12566,Braedon,Hansen,M,509 464 2173,9212 N COLTON ST,SPOKANE,WA,99218,-117.4020912,47.7415254
12567,Romeo,Norris,M,(909) 820-9912,1610 South Riverside Avenue, Rialto, CA,92376,-117.3720809,34.071887
12569,Sebastian,Avila,M,(760) 966-0026,2100 Vista Way, Oceanside, CA,92054,-117.3473018,33.1812207
12571,Karla,Miller,F,(760) 951-5005,15272 Bear Valley Road, Victorville, CA,92392,-117.3310394,34.4733414
12572,Cassie,Hurst,F,(909) 783-0497,1120 S. Mt. Vernon Avenue, Colton, CA,92324,-117.3067683,34.0503124
12573,Jabari,Rubio,M,(951) 245-5990,31700 Grape Street, Lake Elsinore, CA,92530,-117.2945993,33.6621276
12574,London,Abbott,M,(760) 631-0434,705 College Blvd, Oceanside, CA,92057,-117.291043,33.241165
12576,Madalyn,Armstrong,F,(951) 653-4849,2663 Canyon Springs Parkway, Riverside, CA,92507,-117.2836425,33.9404673
12577,Tania,Dickerson,F,(909) 798-9114,2050 West Redlands Blvd, Redlands, CA,92374,-117.23088,34.067805
12578,Natalya,Vargas,F,(951) 940-0440,2560 North Perris Blvd, Perris, CA,92570,-117.2265932,33.8166817
12579,Anderson,Mendoza,M,(760) 242-0626,20251 Hwy 18, Apple Valley, CA,92307,-117.2230949,34.525538
12580,Beckett,Jackson,M,(760) 945-7995,1800 University Drive, Vista, CA,92083,-117.2167834,33.1726134
12581,Selina,Bowen,F,(909) 425-8846,4210 East Highland Ave, Highland, CA,92346,-117.1947579,34.1376539
12582,Chad,Hamilton,M,509 922 8868,15727 E BROADWAY AVE,SPOKANE VALLEY,WA,99037,-117.1913771,47.6668811
12583,Grady,Lang,M,(858) 571-6094,3382 Murphy Canyon Road, San Diego, CA,92123,-117.1163472,32.805204
12584,Ibrahim,Mooney,M,(619) 691-7945,75 N Braodway, Chula Vista, CA,91910,-117.0941542,32.65184
12585,Frankie,Copeland,M,(619) 858-0071,3412 College Ave., San Diego, CA,92115,-117.0536178,32.7415072
12586,Keira,Kline,F,205 384 1100,1801 HIGHWAY 78 E,JASPER,AL,35501,-117.0517204,33.1095987
12587,Ximena,Adams,F,(858) 486-1882,13425 Community Road, Poway, CA,92064,-117.0376306,32.9591267
12588,Shawn,Dodson,M,(208) 883-8828,2470 West Pullman Road, Moscow, ID,83843,-117.0356921,46.7346102
12589,Elena,Kirk,F,(619) 428-4000,710 Dennery Road, San Diego, CA,92154,-117.0355182,32.5814327
12590,Charity,Gallagher,F,(951) 766-1164,1231 So. Sanderson Avenue, Hemet, CA,92545,-117.0099786,33.726429
12591,Monica,Hinton,F,(208) 746-8364,2981 Thain Grade, Lewiston, ID,83501,-117.0007891,46.3993931
12592,Rose,Costa,F,(760) 252-5000,621 Montara Road, Barstow, CA,92311,-116.9917608,34.8825506
12593,Jamya,Choi,F,(619) 449-7900,170 Town Center Parkway, Santee, CA,92071,-116.9902967,32.8421663
12594,Javion,Butler,M,(541) 889-7400,1775 East Idaho Ave., Ontario, OR,97914,-116.9392203,44.0273191
12596,Leonardo,Wade,M,(619) 561-0828,13487 Camino Canada, El Cajon, CA,92021,-116.901878,32.822668
12597,Tanner,French,M,608 326 2408,38020 US HIGHWAY 18,PRAIRIE DU CHIEN,WI,53821,-116.8821652,34.3900881
12598,Paula,Waller,F,(206) 455-0066,5108 East Cleveland Blvd, Caldwell, ID,83607,-116.6462485,43.6311232
12599,Harper,Lane,F,(206) 455-0066,2100 12th Avenue Road, Nampa, ID,83686,-116.5699713,43.5488018
12600,Kale,Vance,M,(208) 265-8332,476999 Highway 95 North, Ponderay, ID,83852,-116.5436464,48.3077274
12601,Gilberto,Lozano,M,(760) 770-3111,31033 Date Palm Drive, Cathedral City, CA,92234,-116.4595014,33.822386
12602,Kaiden,Clements,M,(760) 365-7750,57980 29 Palms Hwy, Yucca Valley, CA,92284,-116.3996689,34.129475
12603,Jazlynn,Kaiser,F,(208) 373-7908,4051 East Fairview Ave, Meridian, ID,83642,-116.3433691,43.6181533
12604,Mylie,Robinson,F,(208) 321-9077,8300 W Overland Rd, Boise, ID,83709,-116.2848338,43.5928008
12607,Emerson,Wade,F,(208) 853-0541,7319 West State Street, Garden City, ID,83714,-116.2836928,43.6699132
12609,John,Ray,M,(760) 564-3313,79295 Us Hwy 111, La Quinta, CA,92253,-116.2811024,33.7036694
12610,Deegan,Donaldson,M,870 572 2442,602 SHEILA DR,WEST HELENA,AR,72390,-116.0832545,44.8889943
12611,Jayce,Rice,M,(775) 778-6778,2944 Mountain City Hwy, Elko, NV,89801,-115.7925726,40.8407985
12612,Serenity,Singleton,F,(208) 587-0601,2745 American Legion Blvd, Mountain Home, ID,83647,-115.6678242,43.1367073
12613,Dante,Lewis,M,(760) 337-1600,2050 N. Imperial Ave., El Centro, CA,92243,-115.572242,32.813698
12614,Tyshawn,Wu,M,870 845 1881,1710 S 4TH ST,NASHVILLE,AR,71852,-115.5528057,32.7777811
12615,Jovani,Bolton,M,(760) 768-5013,2540 Rockwood Avenue, Calexico, CA,92231,-115.4964844,32.6976162
12616,Damion,Wolfe,M,(702) 367-9999,3625 South Rainbow Blvd, Las Vegas, NV,89103,-115.2463065,36.1231037
12617,Alyvia,Berry,F,(702) 656-0199,3041 North Rainbow Blvd., Las Vegas, NV,89108,-115.2445954,36.2150828
12618,Johnathan,Krueger,M,(702) 451-8900,3075 East Tropicana Avenue, Las Vegas, NV,89121,-115.1083946,36.0979743
12619,Catalina,Rowland,F,(702) 452-9998,201 North Nellis Blvd, Las Vegas, NV,89110,-115.0633911,36.165122
12620,Zachery,Sampson,M,(702) 564-3665,300 East Lake Mead Drive, Henderson, NV,89015,-114.9774738,36.0388475
12621,Joselyn,Ibarra,F,(928) 344-0992,2900 S Pacific Ave, Yuma, AZ,85364,-114.601584,32.6744466
12622,Brycen,Warner,M,(928) 758-7222,2840 Hwy 95, Bullhead City, AZ,86442,-114.5952191,35.0823615
12623,Dorian,Hoover,M,(928) 453-5655,1795 Kiowa Blvd, Lake Havasu City, AZ,86403,-114.3513046,34.5042505
12624,Camille,Good,F,(406) 756-7250,1150 East Idaho St, Kalispell, MT,59901,-114.2903049,48.209863
12625,Ariella,Mason,F,(928) 692-0555,3396 No. Stockton Hill Road, Kingman, AZ,86401,-114.0326963,35.2226197
12626,Bailey,Hale,F,(208) 677-4709,385 North Overland Avenue, Burley, ID,83318,-113.7897601,42.5604604
12627,Kristopher,Oneal,M,(435) 674-0459,2610 South Pioneer Road, St George, UT,84790,-113.5864766,37.0633182
12628,Kelly,Graham,F,(435) 628-2802,625 W Telegraph St., Washington, UT,84780,-113.5179813,37.1262696
